Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,latlong,Somme Dedoublement,name,route,source,source_url
77409,drowned,drowning or exhaustion related death,,2015-01-05T00:00:00Z,1Q2015,2015 -- 1,2015,6,0,6,A patera capsized. Refugees and migrants from another boat were able to rescue six people.,80km off the Algerian coast,36.4,-0.9,"36.4, -0.9",6,5 dead off Murcia on Jan 5 2015,Western Mediterranean,El Periodico,
70800,lack of medical care,drowning or exhaustion related death,,2014-09-30T00:00:00Z,3Q2014,2014 -- 9,2014,0,1,1,"26-year-old Palestinian, Wael Adeeb Shahwan left the Gaza Strip for Alexandria, smuggled through the tunnels and on the high seas. One night around 20 September, Wael was smuggled onto a boat near Alexandria. The smugglers had stolen everyone's bags and mobile phones, meaning Wael - a diabetic - did not have his insulin.",Off the Egyptian coast,33,30,"33, 30",3,Death of a diabetic on a raft in September 2014,Central Mediterranean route,,
72728,drowned,drowning or exhaustion related death,SZ,2014-09-29T00:00:00Z,3Q2014,2014 -- 9,2014,70,0,70,Two boats carrying migrants to Europe capsize near Tripoli,Off Tripoli,32.92,13.335,"32.92, 13.335",70,"Event off Libya on Sep 29, 2014",Central Mediterranean Route,AP,
57511,drowned,drowning or exhaustion related death,,2014-09-22T00:00:00Z,3Q2014,2014 -- 9,2014,10,35,45,The overcrowded boat was attempting the crossing from North Africa to Italy.,50km off the Libyan coast,33.3,13.6,"33.3, 13.6",45,"45 die in shipwreck on September 22, 2014",Central Mediterranean Route,AFP,
57360,drowned,drowning or exhaustion related death,,2014-09-15T00:00:00Z,3Q2014,2014 -- 9,2014,3,3,6,102 migrants were rescued off Al-Qarbuli.,Off Al-Qarbuli,33,13.4,"33, 13.4",6,"6 dead off Al-Qarbuli on September 15, 2014",Central Mediteranean Route,AFP,
57331,drowned,drowning or exhaustion related death,,2014-09-14T00:00:00Z,3Q2014,2014 -- 9,2014,0,225,225,A boat capsized a few miles off the Libyan coast. 26 were rescued by the Libyan Navy.,near Tajoura,33.4,13.3,"33.4, 13.3",225,"200 die in shipwreck on September 14, 2014",Central Mediterranean Route,"Libyan Navy, AJE",
57302,drowned,drowning or exhaustion related death,,2014-09-13T00:00:00Z,3Q2014,2014 -- 9,2014,15,0,15,Fifteen migrants from Gaza died on Saturday after a boat they were riding in capsized. The boat had been wrecked after hitting a rock off the coast soon after departing from shore.,off the coast of al-Ajami,32.3,29.7,"32.3, 29.7",15,"15 Palestinian migrants dead after boat capsizes off Egypt coast on September 13, 2014",Central Mediterranean Route,Ma'an,
57234,drowned,drowning or exhaustion related death,,2014-09-12T00:00:00Z,3Q2014,2014 -- 9,2014,7,0,500,"A merchant ship rescued two migrants, who said a total of 30 had been on board. Later interviews put the figure at 500. They also added that the smugglers purposefully sunk the boat.",300mi SE of Malta,34.1,15.7,"34.1, 15.7",500,"Shipwreck off Malta on September 12, 2014",Central Mediterranean Route,"AP, IOM",
72730,drowned,drowning or exhaustion related death,SZ,2014-09-12T00:00:00Z,3Q2014,2014 -- 9,2014,2,0,2,two migrants drowned and six more were rescued when their boat sank in the Mediterranean Sea near Malta,Off Malta,35,16,"35, 16",2,Event off Malta on 12.09.14,Central Mediterranean Route,AFP,
72732,drowned,drowning or exhaustion related death,SZ,2014-09-10T00:00:00Z,3Q2014,2014 -- 9,2014,160,0,160,"more than 160 African migrants were feared dead after an overloaded boat heading for Italy capsized off the coast of Libya, Libyan officials recovered dozens of bodies, 36 are rescued",Off Libya,33.1,13.3,"33.1, 13.3",160,Event off Libya,Central Mediterranean Route,Telegraph,
72734,drowned,drowning or exhaustion related death,SZ,2014-08-31T00:00:00Z,3Q2014,2014 -- 8,2014,15,0,15,Libyan coastguards found 15 bodies of sub-Saharan African migrants floating in the sea near a ripped inflatable boat,Off Tripoli,33,14,"33, 14",115,"Event off Libya on Aug 31, 2014",Central Mediterranean Route,AFP,
56657,drowned,drowning or exhaustion related death,,2014-08-31T00:00:00Z,3Q2014,2014 -- 8,2014,0,100,100,"The coast guard found the damaged rubber boat off the shores of al-Qarbouli, 50 kilometers (30 miles) east of Tripoli. The coast guard has estimated the boat carried at least 100 people.",Off Al Garbouli,33,14,"33, 14",115,Boat capsizes off Al Garbouli on August 31 2014,Central Mediterranean Route,AP,
72736,drowned,drowning or exhaustion related death,SZ,2014-08-30T00:00:00Z,3Q2014,2014 -- 8,2014,36,0,36,The Tunisian coast guard recovered the bodies of 36 migrants who drowned when their boat sank in the Mediterranean near the maritime border with Libya,Off Tunisia,34.1,12.3,"34.1, 12.3",36,Event off Tunisia,Central Mediterranean Route,Reuters,
56633,drowned,drowning or exhaustion related death,,2014-08-29T00:00:00Z,3Q2014,2014 -- 8,2014,41,0,41,"A boat capsized off Zuwara. No other information is available, except that bodies have been washed ashore in nearby Tunisia and that many more have been sighted at sea.","Off Zuwara, Libya",33,12.1,"33, 12.1",41,"Boat capsizes off Zuwara on August 20, 2014",Central Mediterranean Route,AFP,
63119,unknown,unknown - supposedly exhaustion related death,,2014-08-27T00:00:00Z,3Q2014,2014 -- 8,2014,1,0,1,,"Vluchtgarage center, Amsterdam",52.314079,4.975107,"52.314079, 4.975107",1,Death of Nassir Guuleed in Amsterdam in August 2014,,Volkskrant,
56549,drowned,drowning or exhaustion related death,,2014-08-24T00:00:00Z,3Q2014,2014 -- 8,2014,24,0,24,"A fishing boat carrying roughly 400 people capsized north of the Libyan coast in bad weather conditions. The Italian navy and coastguard, in a joint operation with a nearby merchant ship, rescued 364 people. 24 bodies have been recovered and more are feared dead.",north of the Libyan coast,33,13.1,"33, 13.1",24,Boat capsizes North of the Libyan coast on 24 August 2014,Central Mediterranean Route,UNHCR,
72738,unknown,unknown - supposedly exhaustion related death,SZ,2014-08-24T00:00:00Z,3Q2014,2014 -- 8,2014,18,0,18,"Eighteen people are found dead on an inflatable dinghy floating south of Lampedusa by the Italian navy, 73 are rescued",Off Lampedusa,35.4,12.6,"35.4, 12.6",51,Event off Lampedusa on 24.08.14,Central Mediterranean Route,AFP,
56520,unknown,unknown - supposedly exhaustion related death,,2014-08-23T00:00:00Z,3Q2014,2014 -- 8,2014,18,0,18,The Italian Navy boat Sirio rescued a boat with 73 migrants and 18 corpses. They were disembarked at Pozzalo.,20 miles off the Libyan coast,33.7,14.05,"33.7, 14.05",18,"18 found dead on August 23, 2014",Central Mediterranean Route,Italian Navy,
56524,unknown,unknown - supposedly exhaustion related death,,2014-08-22T00:00:00Z,3Q2014,2014 -- 8,2014,0,250,270,More than 250 migrants may have died when a boat sank a kilometre off the Libyan coast.,"1 km off the Garbuli, Libya",32.9,13.5,"32.9, 13.5",270,Boat sinks 1 kilometers off Libyan coats on 22 Aug 2014,Central Mediterranean Route,Thomson Reuters,
72740,burned,"violent accidental death (transport, blown in minefield...)",SZ,2014-08-22T00:00:00Z,3Q2014,2014 -- 8,2014,1,0,1,Greece's coastguard recovered the body of a migrant who died when a vessel containing at least another 80 people caught fire and sank in the Aegean,"Off Tilos, Greece",36,27,"36, 27",5,"Event off Greece on Aug 22, 2014",Eastern Mediterranean Route,AFP,
56597,asphyxiated,authorities related death,,2014-08-21T00:00:00Z,3Q2014,2014 -- 8,2014,1,0,1,An Algerian national died during his deportation. Policemen were present when he died but did not call for help.,On the way to Charles de Gaulle airport,48.9,2.4,"48.9, 2.4",1,Death of Abdelhak Goradia,,Rue89,
56101,unknown,unknown - supposedly exhaustion related death,,2014-08-14T05:00:00Z,3Q2014,2014 -- 8,2014,1,0,1,One man found dead in container with 35 migrants.,Tilbury Docks,51.46046,0.344943,"51.46046, 0.344943",1,1 dead in container on Aug 16 2014,,Sky News,
55859,unknown,unknown - supposedly exhaustion related death,,2014-08-02T05:00:00Z,3Q2014,2014 -- 8,2014,2,0,2,"The Italian navy talked of 2 bodies recovered on its Twitter feed, without giving any further details.",Mediterranean - unknown details,33,30,"33, 30",3,"2 dead recovered on August 3, 2014",Central Mediterranean route,Italian Navy,
72742,drowned,drowning or exhaustion related death,SZ,2014-07-30T00:00:00Z,3Q2014,2014 -- 7,2014,150,0,150,"At least 150 migrants died when their boat sank off Libya's coast, two dozen people survived",Off Libya,32.857,14.306,"32.857, 14.306",150,"Event off Libya on Jul 30, 2014",Central Mediterranean Route,Libya Herals,
55669,drowned,drowning or exhaustion related death,,2014-07-28T05:00:00Z,3Q2014,2014 -- 7,2014,20,108,128,A makeshift boat sank off the Libyan coast. 22 were rescued by the Libyan navy.,100 km east of Tripoli,33.04,12.23,"33.04, 12.23",128,"20 die in shipwreck on July 29, 2014",Central Mediteranean Route,AFP,
55995,run over by a bus,"violent accidental death (transport, blown in minefield...)",,2014-07-22T05:00:00Z,3Q2014,2014 -- 7,2014,1,0,1,"Ahmed Abdallah, 16, crossed the channel hidden under a bus. When he tried to leave, he was crushed by the bus.",,51,1,"51, 1",1,Run over by a bus,,Secours catholique,http://passeursdhospitalites.wordpress.com/2014/08/12/encore-un-gosse-mort-a-la-frontiere/
55520,murdered,malicious intent related death / manslaughter,,2014-07-19T05:00:00Z,3Q2014,2014 -- 7,2014,29,100,129,"Survivors told investigators that a fight broke out as persons who were riding in the hold, suffocating from heat and a lack of oxygen, tried to climb on the upper deck. It is understood that the latch to the lower deck was forced shut and a ladder was removed. Conditions soon became unbearable with the intense heat emitted by the engine and the lack of oxygen and those below forced the door open and tried to climb onto the upper deck.",,36.4,13.1,"36.4, 13.1",129,"Brawl erupts on boat on July 20, 2014",Central Mediterranean Route,"ToM, Malta Independent",
72744,drowned,drowning or exhaustion related death,SZ,2014-07-19T00:00:00Z,3Q2014,2014 -- 7,2014,52,0,52,migrants are feared to have drowned during transfer to a Danish freighter from the rickety fishing boat,Off Libya/Malta,34,14,"34, 14",86,"Event off Libya on Jul 19, 2014",Central Mediterranean Route,Ansa,
55439,asphyxiated,drowning or exhaustion related death,,2014-07-18T05:00:00Z,3Q2014,2014 -- 7,2014,19,0,19,Killed by toxic fumes from the boat's engine.,148km from Lampedusa,35.9,12.37,"35.9, 12.37",19,"19 suffocate to death on boat on July 19, 2014",Central European Route,"BBC, Al Jazeera",
55429,crushed,"violent accidental death (transport, blown in minefield...)",,2014-07-17T05:00:00Z,3Q2014,2014 -- 7,2014,10,0,10,"300 to 400 immigrants were in a boat that was taking in water. An Italian merchant ship that was in the area was requested to assist but 10 people or more, including a baby, died possibly in a stampede during the rescue. They were found dead in the vessel’s hold.",Off Malta,35.3,14.3,"35.3, 14.3",10,"10 die in rescue operation on July 18, 2014",Central Mediterranean Route,Times of Malta,
55421,drowned,drowning or exhaustion related death,,2014-07-16T05:00:00Z,3Q2014,2014 -- 7,2014,3,0,3,Libya's navy said it retrieved the bodies of three would-be migrants and rescued almost 100 others after their boat sank.,,33.17,13.88,"33.17, 13.88",3,"3 die off Libya's shores on July 17, 2014",Central Mediterranean Route,AFP,
55447,drowned,drowning or exhaustion related death,,2014-07-16T05:00:00Z,3Q2014,2014 -- 7,2014,0,41,41,"A boat was intercepted as it sank by a merchant vessel, the Panamanian-flagged City of Sidon. 41 are feared dead",36 nautical miles north of Tripoli,33.47,13.15,"33.47, 13.15",41,"41 feared dead on July 17, 2014",Central Mediterranean Route,Al Jazeera,
72746,asphyxiated,drowning or exhaustion related death,SZ,2014-07-14T00:00:00Z,3Q2014,2014 -- 7,2014,3,0,3,Libya's navy retrieved the bodies of three would-be migrants and rescued almost 100 others after their boat sank,Off Libya,33,13,"33, 13",3,"Event off Libya on Jul 17, 2014",Central Mediterranean Route,AFP,
55272,drowned,drowning or exhaustion related death,,2014-07-10T05:00:00Z,3Q2014,2014 -- 7,2014,2,0,2,"2 immigrants found dead in the sea area, ten miles west from Karlovasi, in Samos island. 13 were rescued by coast guard and an unknown number is reported missing.",Samos,37.754786,26.97777,"37.754786, 26.97777",2,Greece: Two Immingrants Dead near Samos island,,,http://www.efsyn.gr/?p=216196
55194,drowned,drowning or exhaustion related death,,2014-07-05T05:00:00Z,3Q2014,2014 -- 7,2014,12,200,212,"Shipwreck off the coast of Libya, reported by UNHCR. The victims were three Syrians (a mother and her children), three Eritreans and six Africans whose nationality had yet to be determined",Off the Libyan coast,33.9,13.44,"33.9, 13.44",212,"12 die off Tripoli on July 6, 2014",Central Mediterranean Route,UNHCR/dpa,http://en.europeonline-magazine.eu/leaditaly-demands-help-with-migrants-as-12-more-bodies-found-at-seaby-helen-maguire-dpa_345270.html
72748,asphyxiated,drowning or exhaustion related death,SZ,2014-07-02T00:00:00Z,3Q2014,2014 -- 7,2014,45,0,45,"The victims were in a fishing boat on which 600 people were made to board, more than double the boat's capacity",Off Sicily,36.72986,14.84911,"36.72986, 14.84911",45,"Event off Sicily on Jul 2, 2014",Central Mediterranean Route,Ansa Mediterranean,
55002,drowned,drowning or exhaustion related death,,2014-07-01T05:00:00Z,3Q2014,2014 -- 7,2014,0,75,75,The 27 survivors of a shipwreck said there were an additional 75 persons on board.,Off the Italian coast,35,15.7,"35, 15.7",75,"75 die at sea on Jul 2, 2014",Central Mediterranean Route,AFP,
,unknown,unknown - supposedly exhaustion related death,,2014-06-27T00:00:00Z,3Q2014,2014 -- 6,2014,2,9,11,A boat with 11 Senegalese on board sunk near Tanger,Tanger,35.766667,-5.8,"35.766667, -5.8",190,,Western Mediterranean route,Dakar Echo,http://www.dakar-echo.com/un-zodiac-avec-11-senegalais-coule-a-tanger-deux-senegalais-meurent-noyes-9-rescapes/#.VY8kEMhI5kA.twitter
,drowned,drowning or exhaustion related death,,2014-06-23T00:00:00Z,3Q2014,2014 -- 6,2014,6,0,6,Six Syrian refugees died when their boat capsized. 63 others were rescued by Turkish authorities.,Off Bodrum,37,28,"37, 28",6,,Eastern Mediterranean route,L'Expression,http://www.lexpressiondz.com/linformation_en_continue/218726-six-migrants-syriens-ont-trouve-la-mort-au-large-de-la-turquie.html
55402,hypothermia,drowning or exhaustion related death,,2014-06-29T05:00:00Z,2Q2014,2014 -- 6,2014,13,0,13,25 migrants were locked up in a cold store by their traffickers in Libya. 13 died.,Libya,32.8,13.1,"32.8, 13.1",13,"Death in a Libyan cold room on June 30, 2014",,Freedom Newspaper,
55000,suffocated or drowned,drowning or exhaustion related death,,2014-06-28T05:00:00Z,2Q2014,2014 -- 6,2014,45,0,45,"The 45 corpses were discovered in the bow area of the boat during the rescue operation, according to a navy statement. The victims were believed to have suffocated or drowned during the crossing. Initial news reports said the migrants had suffocated because they were packed in so tightly. It wasn’t clear if the boat was taking in water when it was rescued.",Off the coast of Sicily,36.1,15.3,"36.1, 15.3",45,"45 die of suffcation on June 29, 2014",Central Mediterranean Route,AP,http://time.com/2940451/italy-navy-corpses-migrant-boat/
63083,police violence,authorities related death,,2014-06-18T00:00:00Z,2Q2014,2014 -- 6,2014,1,0,1,A 17-year-old Afghan refugee has died after suffering a cerebral hemorrhage following a police beating in the southeastern province of Van.,"Van, Turkey",38.494167,43.38,"38.494167, 43.38",1,"17-year-old Afghan refugee beaten to death by police on June 18, 2014",,Hürriyet,
54845,unknown,unknown - supposedly exhaustion related death,,2014-06-15T05:00:00Z,2Q2014,2014 -- 6,2014,1,0,1,The body of a Syrian who had died on the journey was  on board a Kuwaiti oil tanker arriving in Sicily carrying 356 migrants.,Sicily,37.2,16,"37.2, 16",1,"1 dead found on June 16, 2014, aboard tanker",Central Mediterranean Route,BBC,
72750,asphyxiated,drowning or exhaustion related death,SZ,2014-06-14T00:00:00Z,2Q2014,2014 -- 6,2014,30,0,30,A fishing boat containing the bodies of about 30 people was being towed by an Italian navy frigate to the Sicilian port of Pozzallo,Off Sicily,36,15,"36, 15",30,"Event off Sicily on Jun 29, 2014",Central Mediterranean Route,Guardian,
54570,drowned,drowning or exhaustion related death,,2014-06-13T05:00:00Z,2Q2014,2014 -- 6,2014,10,85,95,The Italian navy rescued 39 migrants aboard an inflatable boat about 100 miles off Lampedusa. Ten people were found dead. Migrants told authorities some 80 to 90 people at least went missing during the storm.,Off Lampedusa,35.5,12.6,"35.5, 12.6",112,"10 found dead on June 14, 2014",Central Mediterranean Route,AFP,
